Sr No,State,Constituency,Candidate Name,Party Name,EVM Votes,Postal Votes,Total Votes,Percent Votes
1,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,BISHNU PADA RAY,Bharatiya Janata Party,102182,254,102436,50.58
2,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,KULDEEP RAI SHARMA,Indian National Congress,77829,211,78040,38.54
3,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,MANOJ PAUL,Andaman Nicobar Democratic Congress,8236,18,8254,4.08
4,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,D AYYAPPAN,Communist Party of India  (Marxist),6009,8,6017,2.97
5,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,V.K. ABDUL AZIZ,Independent,2195,8,2203,1.09
6,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam,911,3,914,0.45
7,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,DR ARUN KUMAR MALLIK,Bahujan Samaj Party,714,5,719,0.36
8,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,RINKU MALA MONDAL,Independent,539,3,542,0.27
9,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,K VENKAT RAM BABU,Independent,506,1,507,0.25
10,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,USHA KUMARI,Independent,378,2,380,0.19
11,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST),349,2,351,0.17
12,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,ANAND RAMNATH ARLEKAR,Independent,342,-,342,0.17
13,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,NOTA,None of the Above,1802,7,1809,0.89
1,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,G M HARISH (BALAYOGI),Telugu Desam,786149,10832,796981,61.25
2,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,450362,4423,454785,34.95
3,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,GOUTHAM JANGA,Indian National Congress,14523,559,15082,1.16
4,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,DORABABU YALLA,Bahujan Samaj Party,5202,186,5388,0.41
5,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,KATRU NAGA BABU,Telugu Nava Garjana Party,3736,5,3741,0.29
6,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,VADDI LALITH KUMAR,Independent,2974,3,2977,0.23
7,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,MAKEY DAVY PRASAD,Independent,2104,7,2111,0.16
8,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,GUDE VENKATESWARULU,Independent,1741,4,1745,0.13
9,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,RAMESH JILLELLA,Jatiya Jana Sena Party,866,6,872,0.07
10,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,YALANGI RAMESH,Jaibhim Rao Bharat Party,738,2,740,0.06
11,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,MATHA KRISHNA,Pyramid Party of India,718,1,719,0.06
12,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,GIDDI JNANA PRAKASA RAO,Republican Party of India,717,9,726,0.06
13,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,YADLA RAJESH,Liberation Congress Party,628,7,635,0.05
14,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,KAPA KALYAN,Republican Party of India (A),579,2,581,0.04
15,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,PATHURI RAMESH,Peoples Party of India (Democratic),502,3,505,0.04
16,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,NOTA,None of the Above,13418,100,13518,1.04
1,Andhra Pradesh,Parliamentary  Constituency  5 - Anakapalle (Andhra Pradesh) ,C.M.RAMESH,Bharatiya Janata Party,750027,12042,762069,57.5
2,Andhra Pradesh,Parliamentary  Constituency  5 - Anakapalle (Andhra Pradesh) ,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,459762,5777,465539,35.13
3,Andhra Pradesh,Parliamentary  Constituency  5 - Anakapalle (Andhra Pradesh) ,VEGI VENKATESH,Indian National Congress,24833,818,25651,1.94
4,Andhra Pradesh,Parliamentary  Constituency  5 - Anakapalle (Andhra Pradesh) ,PALAKA SREERAMA MURTHY,Bahujan Samaj Party,19082,75,19157,1.45
5,Andhra Pradesh,Parliamentary  Constituency  5 - Anakapalle (Andhra Pradesh) ,VANKAYALA RAMACHANDRA RAO,Independent,4001,1,4002,0.3
6,Andhra Pradesh,Parliamentary  Constituency  5 - Anakapalle (Andhra Pradesh) ,LOVARAJU SIDDHA,Independent,3845,7,3852,0.29
7,Andhra Pradesh,Parliamentary  Constituency  5 - Anakapalle (Andhra Pradesh) ,KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party,3549,8,3557,0.27
8,Andhra Pradesh,Parliamentary  Constituency  5 - Anakapalle (Andhra Pradesh) ,GARA SURYA RAO,Independent,3116,8,3124,0.24
9,Andhra Pradesh,Parliamentary  Constituency  5 - Anakapalle (Andhra Pradesh) ,APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party,2589,30,2619,0.2
10,Andhra Pradesh,Parliamentary  Constituency  5 - Anakapalle (Andhra Pradesh) ,NAGESWARA RAO PETLA,Independent,2179,5,2184,0.16
11,Andhra Pradesh,Parliamentary  Constituency  5 - Anakapalle (Andhra Pradesh) ,ADARI SARAT CHANDRA,Jai Bharat National Party,1886,27,1913,0.14
12,Andhra Pradesh,Parliamentary  Constituency  5 - Anakapalle (Andhra Pradesh) ,VIJAYA LAKSHMI KARRI,Pyramid Party of India,1578,13,1591,0.12
13,Andhra Pradesh,Parliamentary  Constituency  5 - Anakapalle (Andhra Pradesh) ,DR. THUMMAPALA HARI  SHANKAR,Independent,1567,9,1576,0.12
14,Andhra Pradesh,Parliamentary  Constituency  5 - Anakapalle (Andhra Pradesh) ,JUNNURI J SRINIVAS,Independent,1195,6,1201,0.09
15,Andhra Pradesh,Parliamentary  Constituency  5 - Anakapalle (Andhra Pradesh) ,APPALANAIDU TUMMAGUNTA,Independent,1055,7,1062,0.08
16,Andhra Pradesh,Parliamentary  Constituency  5 - Anakapalle (Andhra Pradesh) ,NOTA,None of the Above,26084,151,26235,1.98
1,Andhra Pradesh,Parliamentary  Constituency  19 - Ananthapur (Andhra Pradesh) ,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,755862,12383,768245,53.33
2,Andhra Pradesh,Parliamentary  Constituency  19 - Ananthapur (Andhra Pradesh) ,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,573769,5921,579690,40.24
3,Andhra Pradesh,Parliamentary  Constituency  19 - Ananthapur (Andhra Pradesh) ,MALLIKARJUNA VAJJALA,Indian National Congress,41954,1263,43217,3
4,Andhra Pradesh,Parliamentary  Constituency  19 - Ananthapur (Andhra Pradesh) ,G.V.RAMANA REDDY,Independent,6436,3,6439,0.45
5,Andhra Pradesh,Parliamentary  Constituency  19 - Ananthapur (Andhra Pradesh) ,BANASI NARAYANAPPA,Bahujan Samaj Party,6280,116,6396,0.44
6,Andhra Pradesh,Parliamentary  Constituency  19 - Ananthapur (Andhra Pradesh) ,V.MURALI PRASAD REDDY,Independent,5775,3,5778,0.4
7,Andhra Pradesh,Parliamentary  Constituency  19 - Ananthapur (Andhra Pradesh) ,DR.NALLANI RAMESH NAIDU,Andhra Rastra Praja Samithi,4862,127,4989,0.35
8,Andhra Pradesh,Parliamentary  Constituency  19 - Ananthapur (Andhra Pradesh) ,M.SURENDRA,Pyramid Party of India,2927,8,2935,0.2
9,Andhra Pradesh,Parliamentary  Constituency  19 - Ananthapur (Andhra Pradesh) ,U.C.VENKATASUBBAIAH,Jaathia Chethi Vruthula Ikya Vedika Party,2533,7,2540,0.18
10,Andhra Pradesh,Parliamentary  Constituency  19 - Ananthapur (Andhra Pradesh) ,P.CHOWDESWARI,Independent,1514,4,1518,0.11
11,Andhra Pradesh,Parliamentary  Constituency  19 - Ananthapur (Andhra Pradesh) ,VADLA KESAVAIAH,Independent,1488,6,1494,0.1
12,Andhra Pradesh,Parliamentary  Constituency  19 - Ananthapur (Andhra Pradesh) ,B.RAGHAVENDRA PRASAD,Independent,1317,1,1318,0.09
13,Andhra Pradesh,Parliamentary  Constituency  19 - Ananthapur (Andhra Pradesh) ,KETHIREDDY RAGHUNATHAREDDY,Independent,1086,5,1091,0.08
14,Andhra Pradesh,Parliamentary  Constituency  19 - Ananthapur (Andhra Pradesh) ,LOKANATH GOWD SURAGOWINI,Independent,1085,6,1091,0.08
15,Andhra Pradesh,Parliamentary  Constituency  19 - Ananthapur (Andhra Pradesh) ,SREERANGARAJULA GOPINATH ROYAL,Independent,903,1,904,0.06
16,Andhra Pradesh,Parliamentary  Constituency  19 - Ananthapur (Andhra Pradesh) ,SHAIK.NIZAM,Samajwadi Party,749,4,753,0.05
17,Andhra Pradesh,Parliamentary  Constituency  19 - Ananthapur (Andhra Pradesh) ,RAMAVTH CHINNA RAMAPPA NAIK,Jaibhim Rao Bharat Party,735,10,745,0.05
18,Andhra Pradesh,Parliamentary  Constituency  19 - Ananthapur (Andhra Pradesh) ,KURUBA MALLIKARJUNA.S.,All India Kisan Janatha party,574,4,578,0.04
19,Andhra Pradesh,Parliamentary  Constituency  19 - Ananthapur (Andhra Pradesh) ,B.NAGAMUTHYALU,Socialist Unity Centre Of India (COMMUNIST),566,4,570,0.04
20,Andhra Pradesh,Parliamentary  Constituency  19 - Ananthapur (Andhra Pradesh) ,SRINIVASA RAJU.O,Bhartiya Panchyat Party,489,5,494,0.03
21,Andhra Pradesh,Parliamentary  Constituency  19 - Ananthapur (Andhra Pradesh) ,DURGA PRASAD D BYATARAYANAJI,Challengers Party,439,5,444,0.03
22,Andhra Pradesh,Parliamentary  Constituency  19 - Ananthapur (Andhra Pradesh) ,NOTA,None of the Above,9014,185,9199,0.64
1,Andhra Pradesh,Parliamentary  Constituency  1 - Araku (ST) (Andhra Pradesh) ,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,471470,5535,477005,40.96
2,Andhra Pradesh,Parliamentary  Constituency  1 - Araku (ST) (Andhra Pradesh) ,KOTHAPALLI GEETHA,Bharatiya Janata Party,417113,9312,426425,36.62
3,Andhra Pradesh,Parliamentary  Constituency  1 - Araku (ST) (Andhra Pradesh) ,APPALANARASA PACHIPENTA,Communist Party of India  (Marxist),119016,4113,123129,10.57
4,Andhra Pradesh,Parliamentary  Constituency  1 - Araku (ST) (Andhra Pradesh) ,AVASHYA LAHARI . VARAM,Bahujan Samaj Party,24858,892,25750,2.21
5,Andhra Pradesh,Parliamentary  Constituency  1 - Araku (ST) (Andhra Pradesh) ,SAMAREDDY BALAKRISHNA,Independent,9493,42,9535,0.82
6,Andhra Pradesh,Parliamentary  Constituency  1 - Araku (ST) (Andhra Pradesh) ,NIMMAKA JAYARAJU,Independent,8798,664,9462,0.81
7,Andhra Pradesh,Parliamentary  Constituency  1 - Araku (ST) (Andhra Pradesh) ,ATHIDHI,Independent,8121,15,8136,0.7
8,Andhra Pradesh,Parliamentary  Constituency  1 - Araku (ST) (Andhra Pradesh) ,CHANTI BADNAINA,Jai Bharat National Party,7205,47,7252,0.62
9,Andhra Pradesh,Parliamentary  Constituency  1 - Araku (ST) (Andhra Pradesh) ,MOTTADAM . RAJABABU,Bharat Adivasi Party,6370,396,6766,0.58
10,Andhra Pradesh,Parliamentary  Constituency  1 - Araku (ST) (Andhra Pradesh) ,RANJITH KUMAR PALAKA,Independent,6000,47,6047,0.52
11,Andhra Pradesh,Parliamentary  Constituency  1 - Araku (ST) (Andhra Pradesh) ,RAMBABU JALLI,Telugu Rajadhikara Samiti Party,4933,26,4959,0.43
12,Andhra Pradesh,Parliamentary  Constituency  1 - Araku (ST) (Andhra Pradesh) ,MANDALA GIRIDHARA RAO,Independent,4931,36,4967,0.43
13,Andhra Pradesh,Parliamentary  Constituency  1 - Araku (ST) (Andhra Pradesh) ,VUYAKA NIREEKSHAN  (V. CHENCHU),India Praja Bandhu Party,4500,42,4542,0.39
14,Andhra Pradesh,Parliamentary  Constituency  1 - Araku (ST) (Andhra Pradesh) ,NOTA,None of the Above,50205,265,50470,4.33
1,Andhra Pradesh,Parliamentary  Constituency  15 - Bapatla (SC) (Andhra Pradesh) ,KRISHNA PRASAD TENNETI,Telugu Desam,706757,10736,717493,55.16
2,Andhra Pradesh,Parliamentary  Constituency  15 - Bapatla (SC) (Andhra Pradesh) ,NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,503816,5646,509462,39.17
3,Andhra Pradesh,Parliamentary  Constituency  15 - Bapatla (SC) (Andhra Pradesh) ,J.D. SEELAM,Indian National Congress,41673,1586,43259,3.33
4,Andhra Pradesh,Parliamentary  Constituency  15 - Bapatla (SC) (Andhra Pradesh) ,DOKKA JAGAN MOHANA RAO,Bahujan Samaj Party,6774,83,6857,0.53
5,Andhra Pradesh,Parliamentary  Constituency  15 - Bapatla (SC) (Andhra Pradesh) ,NALAMALA TIRUPATI RAO,Navataram Party,2888,76,2964,0.23
6,Andhra Pradesh,Parliamentary  Constituency  15 - Bapatla (SC) (Andhra Pradesh) ,BUSSA. NAGARAJU,Independent,1311,7,1318,0.1
7,Andhra Pradesh,Parliamentary  Constituency  15 - Bapatla (SC) (Andhra Pradesh) ,GADDE. VIJAYA LAKSHMI,Independent,1046,5,1051,0.08
8,Andhra Pradesh,Parliamentary  Constituency  15 - Bapatla (SC) (Andhra Pradesh) ,KATTAPOGU. VIJAY KUMAR,Pyramid Party of India,893,4,897,0.07
9,Andhra Pradesh,Parliamentary  Constituency  15 - Bapatla (SC) (Andhra Pradesh) ,KONDRU KIRAN KUMAR,Independent,791,6,797,0.06
10,Andhra Pradesh,Parliamentary  Constituency  15 - Bapatla (SC) (Andhra Pradesh) ,KATTA ANAND BABU,Independent,704,25,729,0.06
11,Andhra Pradesh,Parliamentary  Constituency  15 - Bapatla (SC) (Andhra Pradesh) ,MERUGUPALA SADASIVA RAO,India Praja Bandhu Party,669,4,673,0.05
12,Andhra Pradesh,Parliamentary  Constituency  15 - Bapatla (SC) (Andhra Pradesh) ,KATTA HEMANAND,Independent,547,2,549,0.04
13,Andhra Pradesh,Parliamentary  Constituency  15 - Bapatla (SC) (Andhra Pradesh) ,PARRE. KOTAIAH,Jaibhim Rao Bharat Party,408,4,412,0.03
14,Andhra Pradesh,Parliamentary  Constituency  15 - Bapatla (SC) (Andhra Pradesh) ,PALADUG VIJENDRA RAO (BAHUJAN),Liberation Congress Party,294,12,306,0.02
15,Andhra Pradesh,Parliamentary  Constituency  15 - Bapatla (SC) (Andhra Pradesh) ,CHINNAM MURALIDHAR,All Peoples Party,252,3,255,0.02
16,Andhra Pradesh,Parliamentary  Constituency  15 - Bapatla (SC) (Andhra Pradesh) ,NOTA,None of the Above,13599,124,13723,1.06
1,Andhra Pradesh,Parliamentary  Constituency  25 - Chittoor(SC) (Andhra Pradesh) ,DAGGUMALLA PRASADA RAO,Telugu Desam,765536,12535,778071,54.84
2,Andhra Pradesh,Parliamentary  Constituency  25 - Chittoor(SC) (Andhra Pradesh) ,REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,552469,5123,557592,39.3
3,Andhra Pradesh,Parliamentary  Constituency  25 - Chittoor(SC) (Andhra Pradesh) ,MOTUKUR JAGAPATHI,Indian National Congress,29431,719,30150,2.12
4,Andhra Pradesh,Parliamentary  Constituency  25 - Chittoor(SC) (Andhra Pradesh) ,THOGURU VIJAYA KUMAR,Bahujan Samaj Party,13389,122,13511,0.95
5,Andhra Pradesh,Parliamentary  Constituency  25 - Chittoor(SC) (Andhra Pradesh) ,YUGANDAR . KONDA,Independent,6889,84,6973,0.49
6,Andhra Pradesh,Parliamentary  Constituency  25 - Chittoor(SC) (Andhra Pradesh) ,K.MUNI KRISHNA,Independent,3954,2,3956,0.28
7,Andhra Pradesh,Parliamentary  Constituency  25 - Chittoor(SC) (Andhra Pradesh) ,P.JANAKI RAMA RAO ( BABU),National Maha Sabha Party,2822,11,2833,0.2
8,Andhra Pradesh,Parliamentary  Constituency  25 - Chittoor(SC) (Andhra Pradesh) ,PETA.MOHAN .,Independent,2365,1,2366,0.17
9,Andhra Pradesh,Parliamentary  Constituency  25 - Chittoor(SC) (Andhra Pradesh) ,C.SUDHAKAR,Independent,1934,1,1935,0.14
10,Andhra Pradesh,Parliamentary  Constituency  25 - Chittoor(SC) (Andhra Pradesh) ,N.CHANDRABABU,Independent,1878,7,1885,0.13
11,Andhra Pradesh,Parliamentary  Constituency  25 - Chittoor(SC) (Andhra Pradesh) ,MADASI SUDHARSHAN,Independent,1575,3,1578,0.11
12,Andhra Pradesh,Parliamentary  Constituency  25 - Chittoor(SC) (Andhra Pradesh) ,D.MAHESH,Independent,1109,10,1119,0.08
13,Andhra Pradesh,Parliamentary  Constituency  25 - Chittoor(SC) (Andhra Pradesh) ,P.MADHU,Independent,902,4,906,0.06
14,Andhra Pradesh,Parliamentary  Constituency  25 - Chittoor(SC) (Andhra Pradesh) ,N.BHUPATHI,Independent,862,32,894,0.06
15,Andhra Pradesh,Parliamentary  Constituency  25 - Chittoor(SC) (Andhra Pradesh) ,A. PURNA CHANDRA,Independent,856,1,857,0.06
16,Andhra Pradesh,Parliamentary  Constituency  25 - Chittoor(SC) (Andhra Pradesh) ,PALLIPATTU.ABHINAV VISHNU,Samajwadi Party,670,6,676,0.05
17,Andhra Pradesh,Parliamentary  Constituency  25 - Chittoor(SC) (Andhra Pradesh) ,N.GANGAIAH .,Independent,547,5,552,0.04
18,Andhra Pradesh,Parliamentary  Constituency  25 - Chittoor(SC) (Andhra Pradesh) ,T NARESH,Independent,532,2,534,0.04
19,Andhra Pradesh,Parliamentary  Constituency  25 - Chittoor(SC) (Andhra Pradesh) ,BANDAPALLI RAMESH,Independent,490,3,493,0.03
20,Andhra Pradesh,Parliamentary  Constituency  25 - Chittoor(SC) (Andhra Pradesh) ,NOTA,None of the Above,11812,164,11976,0.84
1,Andhra Pradesh,Parliamentary  Constituency  10 - Eluru (Andhra Pradesh) ,PUTTA MAHESH KUMAR,Telugu Desam,737644,8707,746351,54
2,Andhra Pradesh,Parliamentary  Constituency  10 - Eluru (Andhra Pradesh) ,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,559318,5176,564494,40.84
3,Andhra Pradesh,Parliamentary  Constituency  10 - Eluru (Andhra Pradesh) ,KAVURI LAVANYA,Indian National Congress,19820,1006,20826,1.51
4,Andhra Pradesh,Parliamentary  Constituency  10 - Eluru (Andhra Pradesh) ,AJAY BABU BODA,Navarang Congress Party,12197,13,12210,0.88
5,Andhra Pradesh,Parliamentary  Constituency  10 - Eluru (Andhra Pradesh) ,NITTA AKHILA DHARANI PAL,Bahujan Samaj Party,6664,68,6732,0.49
6,Andhra Pradesh,Parliamentary  Constituency  10 - Eluru (Andhra Pradesh) ,BOKINALA KOTESWARA RAO,Independent,2253,10,2263,0.16
7,Andhra Pradesh,Parliamentary  Constituency  10 - Eluru (Andhra Pradesh) ,RUDRAPAKA RATNA RAO (R.R.R),Andhra Rastra Praja Samithi,1523,3,1526,0.11
8,Andhra Pradesh,Parliamentary  Constituency  10 - Eluru (Andhra Pradesh) ,KANDAVALLI JEEVA DEVA DAYAKAR,Independent,1172,8,1180,0.09
9,Andhra Pradesh,Parliamentary  Constituency  10 - Eluru (Andhra Pradesh) ,AGASTEEN KOMMINA,Independent,1001,3,1004,0.07
10,Andhra Pradesh,Parliamentary  Constituency  10 - Eluru (Andhra Pradesh) ,DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),Liberation Congress Party,777,9,786,0.06
11,Andhra Pradesh,Parliamentary  Constituency  10 - Eluru (Andhra Pradesh) ,RAJESWARA RAO KONDRU,Bharatheeya Jawan Kisan Party,729,3,732,0.05
12,Andhra Pradesh,Parliamentary  Constituency  10 - Eluru (Andhra Pradesh) ,GODUGUPATI VEERA RAGHAVULU,Pyramid Party of India,710,5,715,0.05
13,Andhra Pradesh,Parliamentary  Constituency  10 - Eluru (Andhra Pradesh) ,BYRABOYINA MALYADRI,Bharatha Chaitanya Yuvajana Party,705,10,715,0.05
14,Andhra Pradesh,Parliamentary  Constituency  10 - Eluru (Andhra Pradesh) ,NOTA,None of the Above,22371,144,22515,1.63
1,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,851020,13928,864948,60.68
2,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,513563,6690,520253,36.5
3,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,JANGALA AJAY KUMAR,Communist Party of India,8317,320,8637,0.61
4,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,SIVAREDDY. ENDREDDY,Navataram Party,5628,1,5629,0.39
5,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,TENALI PRAKASH,Bahujan Samaj Party,4172,100,4272,0.3
6,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,SIKHAKOLLI HEMA GOWRI SHANKAR,Jatiya Jana Sena Party,1959,5,1964,0.14
7,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,SAMUDRALA CHINNA KOTAIAH,Jaibhim Rao Bharat Party,1748,5,1753,0.12
8,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,UMAR BHASHA SHAIK,Jana Sahayaka Sakthi,1273,2,1275,0.09
9,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,SYED. SAIDA,Navarang Congress Party,1216,6,1222,0.09
10,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,AMBATI CHALAMAIAH,Pyramid Party of India,1029,2,1031,0.07
11,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,PILLI BABU RAO,Independent,688,4,692,0.05
12,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,HARI VENKATA SATISH  KURNALA,Jai Bharat National Party,540,2,542,0.04
13,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,VISHNU REDDY LANKIREDDY,Bengaluru Nava Nirmana Party,461,-,461,0.03
14,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,EMANI. CHANDRASEKHAR RAO,Navodayam Party,409,5,414,0.03
15,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,SHAIK. KHAJAVALI,Independent,387,4,391,0.03
16,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,CHALLAPALLI RATAN RAJU,Viduthalai Chiruthaigal Katchi,374,4,378,0.03
17,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,KANNEBOYINA VAMSI KRISHNA YADAV,Independent,368,7,375,0.03
18,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,Andhra Pradesh Rashtra Samithi,353,5,358,0.03
19,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,GAYATRI AUDHIPUDI,Independent,350,7,357,0.03
20,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,ASHOK ANAND GALI,Independent,335,-,335,0.02
21,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,SHAIK ASLAM AKTHER,Independent,334,1,335,0.02
22,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,PATHAN KHAJA (BASHA),Telugu Rajadhikara Samiti Party,328,4,332,0.02
23,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,AMARTHALURI VENKATESWARA RAO.,Marxist Communist Party of India (United),308,4,312,0.02
24,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,DR. RAYAPUDI RAJESH VIJAY KUMAR,Indian Labour Party (Ambedkar Phule),306,4,310,0.02
25,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,BURAGA RATNAM,Loktantrik Janta Dal,304,12,316,0.02
26,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,Independent,268,-,268,0.02
27,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,SIVA PARVATHI,Independent,262,4,266,0.02
28,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,BOMMASANI MUTYALA RAO,All Peoples Party,200,7,207,0.01
29,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,SRIKRISHNA AKKISETTI,Independent,179,-,179,0.01
30,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,MADAVARAPU NAGA RAJU,Independent,172,-,172,0.01
31,Andhra Pradesh,Parliamentary  Constituency  13 - Guntur (Andhra Pradesh) ,NOTA,None of the Above,7210,177,7387,0.52
1,Andhra Pradesh,Parliamentary  Constituency  20 - Hindupur (Andhra Pradesh) ,B K PARTHASARATHI,Telugu Desam,713013,12521,725534,51.23
2,Andhra Pradesh,Parliamentary  Constituency  20 - Hindupur (Andhra Pradesh) ,J SHANTHA,Yuvajana Sramika Rythu Congress Party,587406,5701,593107,41.88
3,Andhra Pradesh,Parliamentary  Constituency  20 - Hindupur (Andhra Pradesh) ,B A SAMAD SHAHEEN,Indian National Congress,53989,1070,55059,3.89
4,Andhra Pradesh,Parliamentary  Constituency  20 - Hindupur (Andhra Pradesh) ,BHAGYA R S,Bahujan Samaj Party,7949,66,8015,0.57
5,Andhra Pradesh,Parliamentary  Constituency  20 - Hindupur (Andhra Pradesh) ,PRATHAP REDDY GORLA,Independent,5380,64,5444,0.38
